ID_Tempat,Nama_Tempat,Daerah,Latitude,Longitude,Telepon,Gambar,Menu
t0027,Warung Nasi Babi Guling Men Repot,Denpasar Timur,"-864,227","11,523,857",85101230600,"27_a,27_b,27_c,27_d,27_e,27_f","Nasi Babi Guling Biasa, Nasi Babi Guling Komplit, Lawar, Nasi Babi Guling Pisah Spesial, Kuah Pisah"
t0028,Sate Plecing Mak Lukluk,Denpasar Timur,"-867,366","115,243,817",(0361) 34130,"28_a,28_b,28_c,28_d,28_e","Ayam Goreng Sambal Matah, Sate Ayam Plecing, Komplit Sapi Bumbu Plecing, Sate Babi Plecing, Sate Sumsum Sapi"
t0029,Warung Babi Guling,Denpasar Selatan,"-865,754","11,523,909",(0361) 7989688,29_a,"Nasi Campur Babi Guling, Babi Krispy, Daging Babi Guling, Balung Kuah, Nasi Babi Guling Spesial Pisah"
t0030,Warung Ratna,Denpasar Selatan,"-8,682,478","115,224,143",81805565929,30_a,"Nasi Goreng, Mie Goreng, Bi Hun Goreng, Nasi Soto Ayam, Tempe Penyet"
t0031,Warung Ayu,Denpsasar Timur,"-865,103","11,521,992",83117263509,"31_a,31_b","Ayam Penyet Warung Ayu, Nasi Goreng Gila, Cap Cay Goreng Guring, Ayam Lalapan Nendang, Ayam Bakar Madu"
t0032,Ayam Betutu Laku 168,Denpasar Timur,"-8,656,992","115,234,668",(0361)7885168,32_a,"Nasi Ayam Betutu, Nasi Ayam Betutu Jumbo, Nasi Sate Plecing, Sayur Urap, Ayam Betutu"
t0033,Warung Ibu Agus,Denpasar Timur,"-862,871","11,524,657",82341077607,"33_a,33_b","Nasi Geprek Original, Nasi Ayam Geprek Jamur Crispy, Nasi Geprek Saus BBQ, Nasi Geprek Sambal Matah, Nasi Geprek Keju"
t0034,Warung Manggis,Denpasar Timur,"-865,377","11,524,485",81999383447,34_a,"Nasi Gonde Sambal Goreng, Tipat Plecing Ayam, Tipat Sayur Sune Cekuh, Tipat Pare, Nasi Gonde Spesial"
t0035,Babi Guling Bu Agus,Denpasar Timur,"-865,037","11,524,067",82237783619,35_a,"Nasi Babi Guling Biasa, Nasi Babi Guling Spesial, Nasi Babi Guling Super Spesial, Soto Babi, Daging Babi"
t0036,Warung Kesvin,Denpasar Timur,"-864,276","11,523,031",87861183489,36_a,"Nasi Uduk Rabuk Haruan, Nasi Uduk Ikan Tuna, Nasi Goreng Ayam Suir, Mihun, Tempe mendoan"
t0037,Warung Celuk,Denpasar Selatan,"-8,683,615","115,221,227",8123690214,"37_a,37_b","Nasi Campur Biasa, Nasi Campur Spesial Gulai, Babi Pedas Manis, Sayur Serombotan, Ayam Sisir Uyah Sere"
t0038,Warung Nasi Babi Guling Men Redio,Denpasar Timur,"-864,059","11,524,068",85396939662,"38_a,38_b,38_c","Nasi Babi Guling Biasa, Nasi Babi Guling Komplit, Nasi Babi Guling Pisah, Kerupuk Babi, Peyek Kacang Kedelai"
t0039,Ayam Betutu Khas Gilimanuk,Denpasar Timur,"-866,445","11,523,854",3614746029,"39_a,39_b,39_c","1/4 Ayam Betutu, 1/2 Ayam Betutu, 1/2 Ayam Betutu Goreng, 1 Ayam Betutu, 1 Ayam Betutu Goreng"
t0040,Dela Depot Laris Siobak Singaraja,Denpasar Selatan,"-871,111","11,522,452",81386705995,"40_a,40_b,40_c,40_d","Siobak, Nasi Campur, Soto Babi, Sate Plecing, Kuah Balung"
t0041,Warung Men Yogi Tegal,Denpasar Barat,"-866,187","11,520,415",89503406894,41_a,"Soto Santan Ayam, Soto Santan Babat, Soto Bening Daging Sapi, Pecel Lele, Pecel Ayam"
t0042,Warung Jaje Bali,Denpasar Utara,"-8,642,582","115,221,386",(0361)414452,"42_a,42_b,42_c,42_d,42_e","Laklak Susu Keju, Jaje Bali Campur, Kolak Pisang Sela, Rujak Colek Kacang, Bulung Kuah Pindang"
t0043,Warung Galuh Bali,Denpasar Timur,"-867,479","11,523,241",82144657587,"43_a,43_b,43_c,43_c,43_d,43_e","Bebek Goreng Sambal Galuh, Nasi Goreng Galuh, Nasi Goreng Gurita, Fuyunghai, Gurita Pedas Manis"
t0044,Babi Guling Karya Rebo,"Kedonganan, Kuta","-8,760,818","115,176,133",361703229,"44_a,44_b,44_c,44_d,44_e,44_f","Babi Guling, Nasi Babi Spesial, Sup Babi, Abon Babi, Kulit Babi"
t0045,Losin Fillets Bali,"Denpasar Selatan, Panjer","-86,826,242","1,152,297,821",3614748999,"45_a,45_b,45_c,45_d,45_e,45_f","Paket Tenggiri Goreng, Ayam Sayur, Paket Super Murah, Paket Ayam Bakar, Paket Udang Bakar"
t0046,"Wr. Babi Guling Singaraja ""Rendi""",Denpasar Selatan,"-86,906,628","1,152,246,597",85239697405,"46_a,46_b,46_c,46_d,46_e,46_f,46_g,46_h","Nasi Babi Guling Porsi Biasa, Nasi Babi Guling Porsi Pisah, Kuah Balung, Sate Babi, Kulit Babi Guling"
